指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,1102,1102
期末净值,final_nav,1.0497225196016853,1.0275362468059257
累计收益率,total_return,0.04972251960168528,0.0275362468059257
年化收益率,annual_return,0.011168645643028441,0.0062367282597848295
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,-0.0028313543569715594,-0.007763271740215171
年化波动率,annual_volatility,0.007523672443498719,0.009407550294539881
夏普比率,sharpe,-0.3763261064638933,-0.8252171391229186
最大回撤,max_drawdown,-0.0061789564310760214,-0.014912480542030426
最大回撤起点,max_drawdown_start,2025-02-13,2022-02-10
最大回撤终点,max_drawdown_end,2025-03-14,2023-11-27
Calmar比率,calmar,1.8075294376340991,0.41822205515754257
日胜率_参考,win_rate,0.06352087114337568,0.05535390199637023
调仓周期数,signal_period_count,1083,1083
盈利调仓周期数,winning_signal_periods,69,59
调仓周期胜率,signal_period_win_rate,0.06371191135734072,0.05447830101569714
单周期平均收益,avg_signal_period_return,4.4914591403769785e-05,2.5250484313061752e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,43.550000000004076,19.55000000000203
年化资本利得_BP,capital_gain_annualized_bp,9.967847411445074,4.474659400545423
资本利得交易笔数,capital_gain_trade_count,48,48
已平仓交易笔数,capital_gain_closed_trade_count,48,48
资本利得盈利笔数,capital_gain_winning_trades,40,29
资本利得亏损笔数,capital_gain_losing_trades,8,19
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.8333333333333334,0.6041666666666666
平均单笔资本利得_BP,capital_gain_avg_trade_bp,0.9072916666667514,0.40729166666670885
资本利得中位数_BP,capital_gain_median_trade_bp,0.9450000000000083,0.26999999999997515
平均每笔盈利_BP,capital_gain_avg_win_bp,1.6822500000000757,1.9027586206897589
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.9674999999998715,-1.8752631578947883
资本利得盈亏比,capital_gain_profit_loss_ratio,0.5668913226622236,1.0146621889729
最佳交易_BP,capital_gain_best_trade_bp,16.450000000000006,18.11
最差交易_BP,capital_gain_worst_trade_bp,-7.339999999999986,-6.899999999999996
平均每笔持有交易日,capital_gain_avg_holding_days,2.1458333333333335,2.1458333333333335
最长单笔持有交易日,capital_gain_max_holding_days,13,13
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-7.339999999999986,-21.560000000001054
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-02-13,2022-01-13
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-03-14,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,2,3
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
